artist_song,like,bpm,energy,danceability,acousticness,camelot_sin,camelot_cos,camelot_AB,genre_기타,genre_댄스,genre_랩/힙합,genre_록/메탈,genre_발라드,genre_성인가요/트로트,genre_인디음악,genre_포크/블루스,target
순순희(지환) 슬픈 초대장,472,142,57,40.0,37.0,-0.5,0.87,1,0,0,0,0,1,0,0,0,0
순순희(기태) 그대가 내 안에 박혔다,635,133,66,44.0,61.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,0
김재환 개이득,47946,119,70,86.0,3.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0
김재환 how i feel,47946,120,62,70.0,28.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0
김재환 i love you,47946,110,28,47.0,75.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
펜타곤 pado,18871,108,76,69.0,0.0,0.87,0.5,0,1,0,0,0,0,0,0,0,0
온앤오프 바람이 분다,21387,118,77,76.0,3.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
정세운 fall in love,27498,64,40,42.0,73.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0
정승환 너에게 닿을게,96009,132,36,35.0,79.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
정세운 blooming,27498,110,90,63.0,4.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
서동현 손을 마주 잡고,95396,176,67,50.0,46.0,-0.87,0.5,1,0,0,0,0,0,0,0,0,0
경서 wonder why,21481,92,51,62.0,76.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
하진 choice,3155,112,73,38.0,24.0,0.87,-0.5,0,0,0,0,0,1,0,0,0,0
손승연 다 그대라서,16362,134,56,48.0,79.0,-0.87,0.5,0,0,0,0,0,1,0,0,0,0
전상근 그곳에 있기에,16150,128,59,57.0,63.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,0
정세운 memory,27498,144,49,42.0,65.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
골든차일드 feel me,9948,144,86,57.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0
골든차일드 crayon,9948,92,75,67.0,10.0,-0.5,-0.87,1,1,0,0,0,0,0,0,0,0
골든차일드 바람이라면,926,90,92,57.0,5.0,0.87,0.5,0,0,0,0,0,1,0,0,0,0
박은빈 Fly Away,4830,136,23,47.0,88.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
더보이즈 우리는,79424,172,76,48.0,31.0,-0.87,0.5,1,0,0,0,1,0,0,0,0,0
더보이즈 더뽀이즈 바나나차차,79424,140,86,79.0,8.0,-0.5,-0.87,1,0,1,0,0,0,0,0,0,0
더보이즈 Delicious,79424,90,73,74.0,12.0,-0.87,-0.5,1,1,0,0,0,0,0,0,0,0
더보이즈 Dear,79424,112,38,62.0,46.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
더보이즈 여름밤,79424,172,35,31.0,64.0,0.0,-1.0,1,0,0,0,1,0,0,0,0,0
엔하이픈 zero moment,42382,151,79,51.0,1.0,-0.5,0.87,0,0,0,0,1,0,0,0,0,0
더보이즈 놀자,79424,120,69,89.0,12.0,-0.5,-0.87,1,1,0,0,0,0,0,0,0,0
더보이즈 Here is,79424,80,55,56.0,34.0,0.0,-1.0,1,1,0,0,0,0,0,0,0,0
정효빈 혼자가 아닌 나,8336,114,65,69.0,2.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
정효빈 내게 스며든,8336,130,37,40.0,66.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
정효빈 찾았다,8336,100,79,71.0,63.0,0.87,-0.5,1,0,0,1,0,0,0,0,0,0
정효빈 지금 우리의 여름처럼,8336,107,66,67.0,24.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
정효빈 수채화,8336,128,38,41.0,59.0,0.5,0.87,1,0,0,0,0,1,0,0,0,0
정효빈 와우리,14,160,74,84.0,15.0,-0.87,0.5,0,0,0,1,0,0,0,0,0,0
씨야 미친 사랑의 노래,11923,116,68,57.0,30.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0
아이콘 PANORAMA,83167,132,92,71.0,0.0,0.5,-0.87,1,0,0,1,0,0,0,0,0,0
아이콘 u,83167,123,85,78.0,11.0,-0.87,0.5,1,0,0,1,0,0,0,0,0,0
이예준 잊는법,19920,140,19,62.0,54.0,-0.87,-0.5,1,0,0,0,0,1,0,0,0,0
시그니처 오로라,1430,125,90,77.0,33.0,-0.87,-0.5,1,0,1,0,0,0,0,0,0,0
임영웅  Do or Die,147430,125,82,60.0,3.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
에이핑크 D N D,95484,112,80,79.0,42.0,0.5,-0.87,1,0,1,0,0,0,0,0,0,0
에이핑크 PINK CHRISTMAS,95484,133,73,75.0,54.0,-1.0,-0.0,1,0,0,0,0,1,0,0,0,0
에이핑크 Copycat,1532,112,82,75.0,17.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0
에이핑크 나만 알면 돼,95484,72,72,45.0,76.0,0.5,0.87,1,0,0,0,0,1,0,0,0,0
에이핑크 난 너로 채워진다,1532,134,40,57.0,72.0,-0.87,0.5,1,0,0,0,0,1,0,0,0,0
영탁 폼 미쳤다,38962,123,93,70.0,3.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
영탁 각자도생,38962,120,77,65.0,38.0,0.87,0.5,1,0,0,0,0,0,0,0,0,0
삼총사 삼세판,173,104,80,69.0,2.0,0.5,0.87,1,0,0,0,0,0,1,0,0,0
소윤 두둥실,84,150,72,63.0,73.0,-0.5,0.87,1,0,1,0,0,0,0,0,0,0
설아 STAY,4234,91,53,70.0,37.0,0.0,-1.0,1,0,0,0,0,1,0,0,0,0
트와이스 Dance Again,172634,114,83,69.0,17.0,0.5,-0.87,1,1,0,0,0,0,0,0,0,0
트와이스 Hare Hare,172634,128,83,71.0,17.0,-0.5,-0.87,0,1,0,0,0,0,0,0,0,0
트와이스 MOONLIGHT SUNRISE (House remix),172634,130,79,73.0,3.0,0.87,0.5,1,0,1,0,0,0,0,0,0,0
선미 STRANGER,44597,63,58,48.0,23.0,-0.5,-0.87,0,0,1,0,0,0,0,0,0,0
선미 불이 꺼지고,44597,100,75,81.0,17.0,-0.5,0.87,0,0,0,0,0,0,0,0,0,0
