,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
0,보아 (BoA) No.1,No.1,보아 (BoA),댄스,"어둠속에 니 얼굴 보다가  나도 몰래 눈물이 흘렀어  소리 없이 날 따라오며 비춘건  Finally 날 알고 감싸 준거니  처음 내 사랑 비춰 주던 넌  나의 이별까지 본거야  You're still my No.1  날 찾지 말아줘 나의 슬픔 가려줘  저 구름 뒤에 너를 숨겨 빛을 닫아줘(닫아줘)  그를 아는 이 길이 내 눈물 모르게  변한 그를 욕하진 말아줘  니 얼굴도 조금씩 변하니까  But I miss you 널잊을 수 있을까  (Want you back in my life, I want you back in my life)  나의 사랑도 지난 추억도 모두 다 사라져 가지만  You're still my No.1  보름이 지나면 작아지는 슬픈 빛  날 대신해서 그의 길을 배웅 해 줄래(해줄래)  못다 전한 내 사랑 나처럼 비춰줘    가끔 잠든 나의 창에 찾아와 그의 안불 전해 줄래  나 꿈결 속에서 따뜻한 그의 손  느낄 수 있도록  huh~ doo doo doo~  하지만 오늘밤 날 찾지 말아줘  나의 슬픔 가려줘  저 구름뒤에 너를 숨겨 빛을 닫아줘(닫아줘)  그를 아는 이 길이 내 눈물 모르게  보름이 지나면 작아 지는 슬픈 빛  날 대신해서 그의 길을 배웅 해줄래(해줄래)  못다 전한 내 사랑  You're still my No.1 (you're still my No1)","39,718",2002,BoA,No.1,A♭ Major,4B,103.0,3:13,49.0,84.0,73.0,81.0,11.0,0.0,6.0,10.0,-4 dB,2002
1,성시경 우린 제법 잘 어울려요,우린 제법 잘 어울려요,성시경,발라드,우린 제법 잘 어울려요  저기 그대가 보이네요 오늘도 같은 시간이죠 언제나 조금 젖은 머리로 날 스쳐가죠 살짝 미소지은 건가요 혹시 날 알아 챈 건가요 아침을 닮은 그대 향기가 날 사로잡죠 난 궁금한 게 많죠 그대 이름 그대의 목소리 온 종일 상상해요 그대 곁에 날 정말 서두르진 않을 거예요 한 걸음 한 걸음씩 그대가 나를 느끼게 사랑을 시작할까요 내일 아침 어쩌면 말할지도 모르죠 우리 한 번 만나 볼래요 물기 어린 나무 사이로 햇살이 부서지는 거리 투명한 그대 얼굴이 왠지 좋아 보여요 기분 좋은 일이 있나요 가벼워 보이는 발걸음 살며시 부는 바람을 타고 난 다가가죠 참 망설였었지만 오늘은 꼭 얘기할래요 눈이 참 예쁘다고 좋아한다고 조금 서투르고 어색하지만 천천히 알아가요 그렇게 시작해봐요 거 봐요 웃을 거면서 내 마음을 알면서 잘 해낼 수 있겠죠 우린 제법 잘 어울려요 정말 서두르진 않을 거예요 한 걸음 한 걸음씩 그대가 나를 느끼게 사랑을 시작할까요 그대 곁엔 언제나 내가 있어줄게요 변치 않을 거예요 우린 제법 잘 어울려요,"114,175",2002,Sung Si Kyung,우린 제법 잘 어울려요,F# Minor,11A,174.0,3:34,32.0,85.0,64.0,88.0,43.0,0.0,10.0,5.0,-6 dB,2002
2,부활 Never Ending Story,Never Ending Story,부활,록/메탈,손 닿을 수 없는 저기 어딘가 오늘도 난 숨쉬고 있지만 너와 머물던 작은 의자 위에 같은 모습의 바람이 지나네... 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대 이기에 너는 떠나며 마치 날 떠나가듯이 멀리 손을 흔들며 언젠가 추억에 남겨져 갈 꺼라고 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬수 없었던 아름다운 시절속에 머문 그대여 그리워하면 언젠가 만나게 되는 어느 영화와 같은 일들이 이뤄져 가기를... 힘겨워 한 날의 너를 지킬 수 없었던 아름다운 시절속에 머문 그대이기에...,"13,023",2002,BOOHWAL,Never Ending Story,F# Major,2B,122.0,4:14,53.0,48.0,37.0,19.0,50.0,0.0,9.0,3.0,-7 dB,2002
3,코요태 비몽,비몽,코요태,댄스,Long gone every time I close my eyes see you one more time so long say goodbye come on one more time let's start 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나난 움직일 수 없어 너의 모습앞에 너무도 달라진 표정 차가운 말투와 날 피하는 눈빛 예전의 니가 아니야 이유라도 대봐 내가 알 수 있게 왜 나를 떠나려는지 마음 약한 내가 쓰러져 울 것을 누구보다 알면서 단 한번만 나의 모습을 되돌아봐줘 멈춰버린 내 가슴은 또 어떻게 해 이대로 가지마 남겨진 기억 어떡하라고 흐르는 눈물도 버려진 슬픔도 왜 그냥 두고 가 그런 말 하지마 행복하기를 바란다는 말 평생을 울어도 상처로 남겨질 내 맘 알잖아 can't move 차가운 너의 말투 나를 피하려고 애써 I got you 내게 다 주고 넌 아주 먼 곳에서 나를 놔주려 해 I want you 내게 다시 돌아와 떠나지마 마지막 한번만 나를 쳐다봐 이건 꿈일거야 sad dream 뿐이야 내게 남긴 상처 please stop 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나난 이건 꿈일거야 분명 아닐거야 아무리 위로해봐도 자꾸 멀어지는 너의 뒷모습에 난 다시 눈물뿐야 사랑했던 그 순간만은 진심이었길 누굴 향해 냉정하게 또 가는거야 이대로 가지마 남겨진 기억 어떡하라고 흐르는 눈물도 버려진 슬픔도 왜 그냥 두고 가 그런 말 하지마 행복하기를 바란다는 말 평생을 울어도 상처로 남겨질 내 맘 알잖아 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나나나나나 난나나난 난나나난,"12,249",2002,KYT,비몽,C Minor,5A,140.0,3:20,36.0,98.0,77.0,87.0,7.0,0.0,26.0,4.0,-3 dB,2002
4,박효신 좋은사람,좋은사람,박효신,발라드,좋은사람  준비없이 비를 만난것처럼 아무말 못한채 너를 보낸뒤에 한동안 취한 새벽에 잠을 청하며 너를 그렇게 잊어보려했어 시간이가도 잊혀지지 않는 널 생각하면서 깨달은게있어 좋은사람 사랑했었다면 헤어져도 슬픈게 아니야 이별이 내게 준것은 곁에 있을때 보다 너를 더욱 사랑하는 맘 셀수없이 많은 날을 울면서 힘든가슴을 보이지 않았던 널 끝내 날 나쁜남자로 만들었던 널 어떻게든 미워하려했어 어떤말로도 미워할수없는 널 생각하면서 깨달은게있어 좋은사람 사랑했었다면 헤어져도 슬픈게 아니야 이별이 내게 준것은 조금 멀리떨어져 너를 헤아릴수 있는 맘 늦었겠지만 너의 맘 아프게했던 바보같은 날 용서해줘 단 한번만 허락해준다면 나를 믿고 돌아와준다면 언제나 말하곤했던 그런 사람이되어 너를 지켜주고싶은데 다시 돌아올순 없겠니,"211,113",2002,Park Hyo Shin,좋은사람,A♭ Major,4B,137.0,3:56,35.0,41.0,31.0,16.0,84.0,0.0,38.0,3.0,-8 dB,2002
5,윤도현 사랑 Two,사랑 Two,윤도현,록/메탈,나의 하루를 가만히 닫아주는 너 은은한 달빛따라 너의 모습 사라지고 홀로 남은 골목길엔 수줍은 내 마음만 나의 아픔을 가만히 안아 주는 너 눈물 흘린 시간 뒤엔 언제나 네가 있어 상처받은 내 영혼에 따뜻한 네 손길만 처음엔 그냥 친군줄만 알았어 아무 색깔없이 언제나 영원하길 또 다시 사랑이라 부르진 않아 아무 아픔없이 너만은 행복하길 워우워우 예예 널 만나면 말없이 있어도 또 하나의 나처럼 편안했던거야 널 만나면 순수한 네 모습에 철없는 아이처럼 잊었던거야 내겐 너무 소중한 너 내겐 너무 행복한 너 처음엔 그냥 친군줄만 알았어 아무 색깔없이 언제나 영원하길 또 다시 사랑이라 부르진 않아 아무 아픔없이 너만은 행복하길 워우워우 예예 널 만나면 말없이 있어도 또 하나의 나처럼 편안했던거야 널 만나면 순수한 네 모습에 철없는 아이처럼 잊었던거야 널 만나면 말없이 있어도 또 하나의 나처럼 편안했던거야 널 만나면 순수한 네 모습에 철없는 아이처럼 잊었던거야 내겐 너무 소중한 너 내겐 너무 행복한 너,"18,691",2002,Yoon Do Hyun,사랑 Two,D Major,10B,140.0,5:16,41.0,39.0,54.0,14.0,19.0,0.0,25.0,2.0,-9 dB,2002
6,휘성 (Realslow) ...안 되나요... (부제: 화양연화),...안 되나요... (부제: 화양연화),휘성 (Realslow),R&B/Soul,너무 힘들어요 다른 사람 곁에 그대가 있다는 게 처음 그댈 본 난 휠씬 그전부터 이미 그랬을 텐데 어쩌면 헤어질 지 몰라 힘겨운 기대를 해봐도 단 한번 힘들어 하는 표정 없이 행복해 하는 그대가 싫어요 안되나요 나를 사랑하면 조금 내 마음을 알아주면 안돼요 아니면 그 사람 사랑하면서 살아가도 돼요 내 곁에만 있어 준다면 하루는 울고 있는 그대 멀리 서 지켜 본적이 있죠 그렇게 울다 지쳐서 그 사람과 이별하게 되길 기도 하면서 안되나요 그대 이별하면 이제 그 자리에 내가 가면 안돼요 아니면 그 사람 사랑하면서 살아가도 돼요 내 곁에만 있어 준다면 힘들 그대 모습 생각해 보면 애써 그대 때문에 아픈 나를 만나지만 우우 사랑 할 수 없는 그대를 보면 너무 아픈 가슴 다 쓰러져만 가는데 안되나요 나를 사랑하면 조금 내 마음을 알아 주면 안돼요 아니면 나를 그 사람이라고 생각해도 돼요 그대만 내게 있으면 그대만 있어 준다면,"29,134",2002,Realslow,안되나요,C# Major,3B,138.0,4:30,46.0,44.0,57.0,18.0,35.0,0.0,10.0,5.0,-8 dB,2002
7,바이브 미워도 다시 한번 (Original Ver.),미워도 다시 한번 (Original Ver.),바이브,발라드,잘 지내고 있는 거겠죠 좀 처럼 연락이 없네요 요즘 많이 바쁜가봐요 이미 다른 사람 품에 안긴 너인데  나 미워도 다시 한번만 나 싫어도 다시 한번만 내 꿈속에 나타나줘요 이미 돌아올 수 없을만큼 떠난 너인데  I need U baby bye bye bye 가야만하니 why why why 그 모든 말은 lie lie lie 오늘도 눈물 나는게  슬퍼서 bye bye bye 가야만하니 why why why 의외로 참아내기가 힘이들어 돌아와줘 미워도 다시 한번만  어쩌면 많이 변했겠지 어쩔 수가 없겠지 아직도 나를 용서할 수 없겠지 내가 미쳤었나봐 너무 늦었나봐 다시는 너를 볼 수가 없나봐  왜 자꾸만 멀어지는건데 왜 자꾸만 잊혀지는건데 이렇게 너무 쉽게 헤어졌 다는게 믿을 수 없어 견딜 수가 없어  비오는 명동을 걸었죠 그대 생각이 많이 나네요 이런 생각하면 바보 같지만 저기 먼곳에서 그대 다시 올 것만 같아  I need U baby bye bye bye 가야만 하니 why why why 그 모든 말은 lie lie lie 오늘도 눈물 나는게  슬퍼서 bye bye bye 가야만 하니 why why why 의외로 참아 내기가 힘이 들어 돌아와줘 미워도 다시 한번만  하지만 그댈 잊어야만 하는 나 우-  I miss U baby bye bye bye 영원히 그대 bye bye bye 가야만 하니 why why why 그 모든 말은 lie lie lie  i miss U baby girl 너무 많이 보고 싶어요 오 제발 이런 나를 용서해줘요 미워도 다시 한번만 -,"31,211",2002,VIBE,Love Me Once Again,B Major,1B,132.0,4:11,36.0,53.0,75.0,40.0,22.0,0.0,13.0,4.0,-8 dB,2002
8,롤러 코스터 Last Scene,Last Scene,롤러 코스터,록/메탈,나는 아무 말도 못했다 그 자리에 그냥 서있다 니가 하는 말이 무슨 뜻 인지를 한참 후에서야 알았다 그래 모든 것은 변했다 변하지 않는 건 없었다 내가 있는 곳에 너는 없다는 걸 한참 후에서야 알았다 다행히도 시간은 흐르고 아무렇지않게 너의 이름을 말하고 이제는 다 지난 얘기라고 큰 소리로 웃어보기도 하고 나 답지도 않은 말을 하고 사람들은 내가 변했다고 해 그래 모든 것은 변했다 변하지 않는 건 없었다 내가 있는 곳에 너는 없다는 걸 한참 후에서야 알았다 다행히도 시간은 흐르고 아무렇지않게 너의 이름을 말하고 이제는 다 지난 얘기라고 큰 소리로 웃어보기도 하고 나 답지도 않은 말을 하고 사람들은 내가 변했다고 그러다 어떤 날은 화가 나고 큰 소리로 울어 보기도 하고 넌 더 힘들꺼라 상상해도 아무것도 달라지는 건 없어 이제는 다 지난 얘기라고 큰 소리로 웃어보기도 하고 나 답지도 않은 말을 하고 사람들은 내가 변했다고 그러다 어떤 날은 화가 나고 큰 소리로 울어 보기도 하고 넌 더 힘들꺼라 상상해도 아무것도 달라지는 건 없어,"10,950",2002,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),F# Major,2B,79.0,3:00,92.0,56.0,56.0,62.0,37.0,0.0,11.0,10.0,-9 dB,2002
9,쿨 (COOL) 아로하,아로하,쿨 (COOL),발라드,어두운 불빛 아래 촛불 하나 와인 잔에 담긴 약속 하나 항상 너의 곁에서 널 지켜줄꺼야 날 믿어준 너였잖아 나 바라는 건 오직 하나 영원한 행복을 꿈꾸지만 화려하지 않아도 꿈같지 않아도 너만 있어주면 돼 걱정 마 I Believe 언제나 I Believe 이 순간을 잊지 않을께 내 품에 I Believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫 날밤의 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼꺼야 You're light of my life You're the one in my life 내 모든걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 이제 나에게 있어 가장 소중한 건 내가 아닌 당신입니다 말로는 다짐할 수 없지만 당신만을 사랑합니다 때로는 친구처럼 때로는 연인처럼 눈 감는 그 날까지 당신만을 사랑합니다 늘 하나라는 마음으로 흔들리지 않는 믿음으로 아픈 마음도 함께 기쁜 맘도 함께 나눠 가졌으면 해 약속해 I Believe 힘들 때 I Believe 너의 그늘이 되어줄께 내 품에 I Believe 안긴 너의 미소가 영원히 빛을 잃어 가지 않게 Cause your love is so sweet You are my everything 첫날밤의 단 꿈에 젖어 하는 말이 아냐 난 변하지 않아 오직 너만 바라볼 꺼야 You're light of my life You're the one in my life 내 모든 걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 You're light of my life You're the one in my life 내 모든걸 다 잃는데도 후회하지 않아 오직 너를 위한 변하지 않는 사랑으로 All I ever want is your love,"15,900",2002,COOL,아로하,E♭ Major,5B,202.0,4:25,48.0,75.0,53.0,54.0,52.0,0.0,20.0,6.0,-4 dB,2002
10,봄여름가을겨울 Bravo My Life (브라보 마이 라이프),Bravo My Life (브라보 마이 라이프),봄여름가을겨울,록/메탈,해 저문 어느 오후 집으로 향한 걸음 뒤엔 서툴게 살아왔던 후회로 가득한 지난 날 그리 좋지는 않지만 그리 나쁜 것만도 아니었어  석양도 없는 저녁 내일 하루도 흐리겠지 힘든 일도 있지 드넓은 세상 살다보면 하지만 앞으로 나가 내가 가는 곳이 길이다  Bravo Bravo my life 나의 인생아 지금껏 달려온 너의 용기를 위해 Bravo Bravo my life 나의 인생아 찬란한 우리의 미래를 위해  내일은 더 낫겠지 그런 작은 희망 하나로 사랑할 수 있다면 힘든 1년도 버틸 거야 일어나 앞으로 나가 네가 가는 곳이 길이다  Bravo Bravo my life 나의 인생아 지금껏 살아온 너의 용기를 위해 Bravo Bravo my life 나의 인생아 찬란한 우리의 미래를 위해  고개들어 하늘을 봐 창공을 가르는 새들 너의 어깨에 잠자고 있는 아름다운 날개를 펼쳐라  Bravo Bravo my life 나의 인생아 지금껏 달려온 너의 용기를 위해 Bravo Bravo my life 나의 인생아 찬란한 우리의 미래를 위해,"2,888",2002,SSaW,브라보 마이 라이프 (Bravo My Life),B Major,1B,177.0,4:23,27.0,60.0,34.0,27.0,40.0,0.0,57.0,4.0,-5 dB,2002
11,박정현 꿈에,꿈에,박정현,발라드,어떤 말을 해야하는지 난 너무 가슴이 떨려서 우리 옛날 그대로의 모습으로 만나고 있네요 이건 꿈인 걸 알지만 지금 이대로 깨지않고서 영원히 잠 잘 수 있다면 날 안아주네요 예전 모습처럼 그 동안 힘들었지 나를 보며 위로하네요 내 손을 잡네요 지친 맘 쉬라며 지금도 그대 손이 그때처럼 따뜻하네요 혹시 이게 꿈이란 걸 그대가 알게 하진 않을 꺼야 내가 정말 잘 할거야 그대 다른 생각 못하도록 그대 이젠 가지 마요 그냥 여기서 나와 있어줘요 나도 깨지 않을게요 이젠 보내지 않을 거에요 계속 나를 안아주세요 예전 모습처럼 그동안 힘들었지 나를 보며 위로하네요 내 손을 잡네요 지친 맘 이젠 쉬라며 지금도 그대 손은 그때처럼 따뜻하네요 대답해줘요 그대도 나를 나만큼 그리워했다고 바보같이 즐거워만 하는 날 보며 (날 보며) 안쓰런 미소로 (슬픈 미소로) 이제 나 먼저갈게 미안한 듯 얘길 하네요 나처럼 그대도 (그대도) 알고 있었군요 (꿈이라는 걸) 그래도 고마워요 이렇게 라도 만나줘서 날 안아주네요 작별 인사라며 나 웃어 줄게요 이렇게 보내긴 싫은데 뒤돌아 서네요 다시 그때처럼 나 잠 깨고 나면 또 다시 혼자 있겠네요 저 멀리 가네요 이젠 익숙하죠 나 이제 울게요 또 다시 보내기 싫은데 보이지 않아요 이제 다시 눈을 떴는데 가슴이 많이 시리네요 고마워요 사랑해요 난 괜찮아요 다신 오지 말아요,"28,467",2002,Lena Park,In dreams,B♭ Major,6B,136.0,5:37,37.0,53.0,38.0,31.0,63.0,0.0,15.0,4.0,-7 dB,2002
12,신승훈 사랑해도 헤어질 수 있다면...,사랑해도 헤어질 수 있다면...,신승훈,발라드,참 많이 겪어 봤는데.. 이젠 알것도 같은데.. 늘 조금 이른 이별은 한번도 어김이 없어 날 바라보던 그 눈이 사랑을 말한 입술이.. 헤어짐을 얘기하는게 믿어지지가 않아 난 한동안 기억속에 널 지울 순 없겠지.. 잘해준 기억보다 미안한 마음이 남아 누구라도 사랑할 순 있지만 그 사람이 네가 될 순 없잖아 눈물로 남은 날을 다 써도 널 지우기엔 모자란데 사랑해도 헤어질 수 있다면 헤어져도 사랑할 수 있잖아.. 네 곁에 내가 없는 오늘도 너는 내 안에 남아 가끔 눈물이 흘러..  넌 언젠가 내 이름조차 낯설어 지겠지.. 지나간 사랑이라 웃으며 말을 하겠지 누구라도 사랑할 순 있지만 그 사람이 네가 될 순 없잖아 눈물로 남은 날을 다 써도 널 지우기엔 모자란데 사랑해도 헤어질 수 있다면 헤어져도 사랑할 수 있잖아.. 네 곁에 내가 없는 오늘도 너는 내 안에 남아 가끔 눈물이 흘러..,"11,281",2002,코케,사랑해도 헤어질 수 있다면… : Originally Performed By 신승훈 Karaoke Verison,F# Minor,11A,68.0,4:42,0.0,29.0,13.0,6.0,12.0,83.0,10.0,5.0,-15 dB,2002
13,Ryu (류) 처음부터 지금까지,처음부터 지금까지,Ryu (류),발라드,내게 올수없을거라고 이젠 그럴수 없다고 제발 그만하라고 나를 달래지.. 정말 잊어버리고 싶어 다신볼수없다면.. 나를 잡고있는 너의 모든걸 내가 웃고싶을때마다 넌 나를 울어버리게 만드니까.. 어느것 하나도 나의 뜻대로 넌 할수 없게 만드는걸.. 니가 보고싶을때마다 난 이렇게 무너져버리고 마니까 아무리 잊으려고 애를써도 잊을수 없게 하니까..  정말 잊어버리고 싶어 다신 볼 수 없다면.. 나를 잡고있는 너의 모든걸 내가 웃고싶을때마다 넌 나를 울어버리게 만드니까.. 어느것 하나도 나의 뜻대로 넌 할수 없게 만드는걸.. 니가 보고싶을때마다 난 이렇게 무너져버리고 마니까 아무리 잊으려고 애를써도 잊을수 없게 하니까.. 단 한사람을 사랑하는게 이토록 힘든일인줄 난 정말 몰랐어 내가 웃고싶을때마다 넌 나를 울어버리게 만드니까.. 어느것 하나도 나의 뜻대로 넌 할수 없게 만드는걸.. 니가 보고싶을때마다 난 이렇게 무너져버리고 마니까 아무리 잊으려고 애를써도 잊을수 없게 하니까..,489,2002,Ra.D,Thank you,B Minor,10A,112.0,4:03,19.0,43.0,89.0,87.0,9.0,0.0,13.0,6.0,-5 dB,2002
14,플라이 투 더 스카이 Sea Of Love,Sea Of Love,플라이 투 더 스카이,R&B/Soul,"언제나 내 꿈엔 비가 내려 차가운 바람도 불고 있어 널 기다리는 내 삶의 끝 본 것만 같아 어떡해  며칠이 몇 년 같은데 넌 아무렇지 않은지 한번이라도 너를 보여주겠니  For the moon by the sea 네가 떠난 바닷가에 눈물이 마를 때까지 (다 마를 때까지) 사랑한다는 건 오직 기다림뿐이었단 걸(단 걸) 난 왜 몰랐을까 (난 왜 몰랐을까)  이제 난 그만 돌아가려 해 너를 몰랐던 그때 네가 없던 세상 아직은 나에게 내가 전부였던 시절 날 보내 줘  From the bottom of my heart Girl with you , I'll be true 모두 거짓말인걸 (거짓 말야) 맘은 그렇게 먹지만 (맘은 그렇게 먹지만) 절대 너인걸 어떡해(걸 어떻게) 죽어도 못 잊겠어  For the moon by the sea 네가 떠난 바닷가에 눈물이 마를 때까지 (다 마를 때까지) 사랑한다는 건 오직 기다림뿐이었단 걸(단 걸) 난 왜 몰랐을까  널 잊은 채로 나도 살고싶어 하지만 그게 안 돼 아픔만 더해 갈 뿐 너의 사랑은 끝났지만 나의 사랑은 이제 막 시작했어  From the bottom of my heart still i'm falling in love 꿈속에라도 네가(꿈속에서) 돌아와 Kiss해줘(나에게 Kiss 한다면) 약속하지 않아도 돼(않아도 돼) 난 매일 기다릴 테니  For the moon by the sea 네가 떠난 바닷가에 눈물이 마를 때까지 (다 마를 때까지) 사랑한다는 건 오직 기다림뿐이었단 걸(단 걸) 난 왜 몰랐을까  가끔 네 눈에 눈물이 고여 흐른다면 그건 내가 눈물이 말라서 네 눈물 빌린 거야 돌아와 제발 내게  (난 왜 몰랐을까)  For the moon by the sea 네가 떠난 바닷가에 눈물이 마를 때까지 (다 마를 때까지) 사랑한다는 건(사랑해) 오직 기다림뿐이었단 걸(기다림뿐이었어) 난 왜 몰랐을까 (왜 몰랐을까) For the moon by the sea 네가 떠난 바닷가에 눈물이 마를 때까지 (다 마를 때까지) 사랑한다는 건 오직 기다림뿐이었단 걸(oh be my love) 난 왜 몰랐을까(ooh~)  내 꿈엔 비가 이젠 그치길....","27,420",2002,Fly to the Sky,Sea of Love,B Major,1B,103.0,4:23,33.0,85.0,71.0,60.0,7.0,0.0,41.0,3.0,-3 dB,2002
