,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
0,SG 워너비 내 사람: Partner For Life,내 사람: Partner For Life,SG 워너비,R&B/Soul,내 가슴 속에 사는 사람 내가 그토록 아끼는 사람 너무 소중해 마음껏 안아보지도 못했던 누구에게나 흔한 행복 한번도 준 적이 없어서 맘 놓고 웃어본 적도 없는 그댈 사랑합니다 내가 기쁠 때나 슬플 때나 함께 울고 웃어주던 그댈 위해 내가 할 수 있는건 뭐든 해주고 싶어 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 어두운 밤 길을 잃어도 서로 등불이 되어주고 비바람 몰아쳐도 지금 잡은 두손 놓지 말아요 내가 힘들 때나 아플 때나 내 곁에 있어준 그대 미안하단 말로 고맙단 말을 대신 하던 나였죠 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 넘어지고 몇 번을 다시 넘어진다 해도 그대만 있다면 다시 일어날 수 있는데 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 이렇게 그댈 부를 때면 너무 행복해서 눈물이 나죠 사랑해요,"55,417",2006,BIGBANG,Still Life,A♭ Major,4B,118.0,3:08,66.0,58.0,68.0,24.0,44.0,0.0,6.0,3.0,-4 dB,2006
1,백지영 사랑 안해,사랑 안해,백지영,발라드,그럴려고 그랬어 돌아가려고 너의 차가움엔 그래 다 이유 있었던거야 나를 만지는 너의 손길 없어진 이제야 깨닫게 되었어 네맘 떠나간 것을  설마하는 그런 미련 때문에 그래도 나는 나를 위로해 나 이제 이러는 내가 더 가여워 이제라도 널 지울꺼야 기억의 모두를  이제 다시 사랑안해 말하는 난 너와 같은 사람 다시 만날 수가 없어서 사랑할 수 없어서 바보처럼 사랑 안해 말하는 널 사랑한다 나를 잊길바래 나를 지워줘  바보처럼 몰랐어 너희 두 사람 아직 기억하려던 그건 그래 다 욕심이야 다짐했건만 매일 아침 눈을 떠 지나간 너에게 기도해 나를 잊지 말라고  제발 지금 내가 바라는 하나 내 얘길 너무 쉽게 하진마 차라리 나를 모른다고 말해줘 시간지나 알게 될꺼야 내 사랑의 가치를  이제 다시 사랑안해 말하는 난 너와 같은 사람 다시 만날 수가 없어서 사랑할 수 없어서 바보처럼 사랑안해 말하는 널 사랑한다 나를 잊길 바래 나를 지워줘  내가 없는 내가 아닌 그 자리에 사랑 채우지마 혹시 만날 수가 있다면 사랑 할 수 있다면 아프잖아 사랑한 널 지켜보며 사랑한단 그 말 한마디를 하지 못해서,"29,677",2006,Baek Z Young,사랑 안해,G Major,9B,68.0,4:13,43.0,47.0,56.0,37.0,38.0,0.0,13.0,3.0,-6 dB,2006
2,씨야 여인의 향기,여인의 향기,씨야,발라드,잘 지내 보여요 그대 얼굴은  날 잊고 잘 사는 듯 하죠  그런 그대가 얼마나 미운지  얼마나 서운했는지  난 겁이 많아서 혼자란 게 싫어서  그대 없이 난 안되네요  머리는 그댈 쉽게 잊어 내도  가슴은 그댈 다시 데려오네요  사랑했었나 봐 지우지 못하나 봐  힘들었던 일들만 떠올려도  좋았던 기억만 다시 찾아와  나를 더 아프게 하죠  어떡하나요 사랑하고 싶은데  죽을 만큼 너무 보고 싶은데  세상에 가장 하고픈 말  애써 참아 볼게요  가슴 아파도 나 웃네요  눈물이 많아서 가슴이 참 약해서  웃는 법도 잘 몰랐는데  그대 때문에 행복을 배웠고  그대 때문에 사랑을 알았는데  사랑했었나 봐 지우지 못하나 봐  힘들었던 일들만 떠올려도  좋았던 기억만 다시 찾아와  나를 더 아프게 하죠  어떡하나요 사랑하고 싶은데  죽을 만큼 너무 보고 싶은데  세상에 가장 하고픈 말  그대를 사랑해요  이제는 그만 됐다고  잊어 줄 때도 된 것만 같다고  두 눈이 먼다면 심장이 멈추면 될까요  사랑했던 만큼 그리워한 날만큼  그댈 보내 주는 것도 힘든데  내가 얼마나 더 잊어야 하죠  얼마나 더 아파야죠  멀어져 가지만 다시는 못 보지만  그댈 위한 내 마지막 선물은  그대 편히 갈 수 있도록  애써 웃어 보인 일  오늘도 그대 행복에 살죠,"11,923",2006,Key,Camelot,BPM,,,Popularity,,,,,,,,,,2006
3,바이브 그 남자 그 여자 (Feat. 장혜진),그 남자 그 여자 (Feat. 장혜진),바이브,발라드,혹시 니가 다시 돌아올까봐 다른 사랑 절대 못해 남잘 울렸으면 책임져야지 니가 뭘 알아 남자의 마음을 모든걸 다 주니까 떠난다는 그 여자 내 전부를 다 가져간 그 여자 한때는 내가 정말 사랑했던 그 여자 다 믿었었어 바보같이 여자는 다 똑같나봐 혹시 니가 다시 돌아올까봐 다른 사랑 절대 못해 여잘 울렸으면 책임져야지 니가 뭘 알아 여자의 마음을 모든걸 다 주니까 떠난다는 그 남자 내 전부를 다 가져간 그 남자 한때는 내가 정말 사랑했던 그 남자 다 믿었었어 바보같이 남자는 다 똑같나봐 우린 미치도록 사랑했었지 우린 미치도록 사랑했었지 모든걸 다 주니까 떠난다는 그 남자 내 마음하나 몰라주는 그 남자 한때는 내가 정말 사랑했던 그 남자 다 믿었었어 바보같이 그땐 사랑이 이별인줄 모르고 그런줄도 모르고 다 믿었었어 우리둘이,"31,211",2006,VIBE,"The man, the woman",B Major,1B,126.0,4:41,11.0,41.0,37.0,23.0,64.0,0.0,64.0,4.0,-6 dB,2006
4,이승기 하기 힘든 말,하기 힘든 말,이승기,발라드,우리 헤어지지만 다신 너를 볼 수 없지만 마지막으로 부탁 하나 할께 눈물 맺힌 너에게 나 할 수 있는 건 편하게 너를 보내주는 일 나와 닮은 너에게 나완 다른 그에게 조금은 어색하고 하기 힘든 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 오래 전에 알았어 나 아닌 사람이 니 맘을 모두 가져버린 걸 나와 닮은 너에게 나완 다른 그에게 아무리 애를 써도 하기 싫은 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 미안해 하진마 후회하진 마 나보다 그가 훨씬 더 잘해줄꺼야 그의 품에 안겨서 까맣게 나를 잊고서 늘 웃고 사는게 날 위한 이별이니까 괜찮아질꺼야 익숙해질꺼야 혼자하는 사랑 힘이 들어도 떠나가는 너를 돌아서는 너를 몰래 내 가슴속에 두면 돼,"27,517",2006,"Lee Seung Gi, Captain Planet",Difficult Words to Tell You,C Major,8B,131.0,3:59,26.0,52.0,31.0,14.0,19.0,0.0,13.0,4.0,-7 dB,2006
5,성시경 거리에서,거리에서,성시경,발라드,니가 없는 거리에는  내가 할일이 없어서  마냥 걷다 걷다보면  추억을 가끔 마주치지  떠오르는 너의 모습  내 살아나는  그리움 한번에  참 잊기 힘든 사람이란걸  또 한번 느껴지는 하루  어디쯤에 머무는지  또 어떻게 살아가는지  걷다보면 누가  말해줄 것 같아  이 거리가 익숙했던  우리 발걸음이 나란했던  그리운 날들  오늘밤 나를 찾아온다  널 그리는 널 부르는 내 하루는  애태워도 마주친  추억이 반가워  날 부르는 목소리에 돌아보면  텅빈 거리 어느새  수많은 니모습만 가득해    막다른길 다다라서  낯익은 벽 기대보며  가로등 속 환히 비춰지는  고백하는 니가 보여  떠오르는 그때모습  내 살아나는 설레임  한번에 참 잊기 힘든  순간이란 걸  또 한번 느껴지는 하루  아직 나를 생각할지  또 그녀도 나를 찾을지  걷다보면 누가 말해줄 것 같아  이 거리가 익숙했던  우리 발걸음이 나란했던  그리운 날들  오늘밤 나를 찾아온다  널 그리는 널 부르는 내 하루는  애태워도 마주친  추억이 반가워  날 부르는 목소리에 돌아보면  텅빈 거리 어느새  수 많은 니 모습만 가득  부풀은 내 가슴이  밤 하늘에 외쳐본다  이 거리는 널 기다린다고    널 그리는 널 부르는 내 하루는  애태워도 마주친  추억이 반가워  날 부르는 목소리에 돌아보며  텅빈거리 어느새  수 많은 니 모습만 가득해,"114,175",2006,Sung Si Kyung,거리에서,G Major,9B,132.0,4:39,52.0,48.0,58.0,31.0,65.0,0.0,15.0,3.0,-8 dB,2006
6,하동균 그녀를 사랑해줘요,그녀를 사랑해줘요,하동균,발라드,잠깐 기다려줄래 지금 데리러 갈게 왜 자꾸 울기만 하니 말해 말해 어디에 있니 니가 사랑하는 사람이 너를 두고 간 거니 집으로 데려다 줄게 가자 가자 바람이 차가우니까 너를 울리는 그 사람이 뭐가 그렇게 좋으니 너는 모르지 너만 모르지 너를 사랑하는 내 맘을 걸음이 느린 내가 먼저 가지 못해서 내 자릴 뺏긴 아픈 사랑을 너의 웃는 모습이 누구 보다 예쁜지 그 사람 알기나 하니 정말 정말 알고도 너를 울리니 이름 모르는 당신에게 부탁 하나만 하는데 사랑해줘요 사랑해줘요 내가 사랑하는 그녀를 당신이 나 대신에 가진 나의 그녀를 함부로 다룰 생각하면 안 돼요 사랑해줘요 내 마음도 몰라주는 그녀를 그녀가 사랑하는 사람 당신이니까 나 보다 많이 사랑해줘요 다시는 울리지는 말아요,"18,523",2006,Ha Dong Qn,그녀를 사랑해줘요,A♭ Major,4B,70.0,4:19,44.0,36.0,52.0,27.0,67.0,0.0,21.0,3.0,-9 dB,2006
7,SG 워너비 사랑했어요 (Feat. 데니안),사랑했어요 (Feat. 데니안),SG 워너비,R&B/Soul,헤어지던 날 어땠나요 나처럼 술을 마셨나요 일부러 슬픈 영화를 보고 우나요 속상한 일이 생길때면 기분좋은 일이 생기면 이젠 누구와 얘기하죠 나를 사랑했나요 그것만 대답해줘요 나한테 마음준 건 다 거짓말 아니죠 나는 그대뿐인데 그대밖에 모르고 살아왔는데 이젠 어떡하죠 처음 그댈 만났을때도 지금 그댈 보낸 순간도 내 사랑은 변함없는데 오 나를 사랑했나요 그것만 대답해줘요 나한테 마음준 건 다 거짓말 아니죠 나는 그대뿐인데 그대밖에 모르고 살아왔는데 이젠 어떡하죠 그래 이제 끝이죠 돌이킬 수 없죠 그럼 나는 어떡하죠 어떡하면 내가 그대를 편히 잊을 수 있죠 봐도 울고 또 울어 봐도 그래도 달라지는건 없어 다 소용없죠 그대 목소리 듣고 싶으면 어떡하죠 미칠 듯이 보고싶다면 나 어떡하죠 숨을 쉬어도 살아있음을 모르면 어떡하죠 애타죠 이젠 정말 나 어떡하죠 사랑했어요 그만큼 행복했어요 서로 좋은 기억만 간직한채 살아요 모든걸 다 줬는데 그대에겐 부족한 사람이었죠 이젠 행복해요 I love you so my love good bye I can't live without your love I love you so my love good bye,"55,417",2006,SG Wannabe,라라라,C Major,8B,198.0,4:37,44.0,73.0,38.0,49.0,55.0,0.0,7.0,6.0,-4 dB,2006
8,씨야 사랑하기 때문에 (Feat. SG워너비),사랑하기 때문에 (Feat. SG워너비),씨야,발라드,사랑이 떠났어 이제는 다시 볼 수 없겠지 처음 해본 사랑도 아닌데 많이 아프다 사랑이 떠나갔어 그대가 떠나갔어 나 혼자 남겨둔채 어디를 떠나갔어 이렇게 홀로 내버려두고 추억만 남기고 너 때문에 아무것도 할 수가 없는데 난 상처는 두렵지 않아 널 볼 수 없다는게 나는 더 두려워 니가 너무 그리워 그런 날 알잖아 내게 다시 돌아와 너 없이는 살 수 없어 니가 다시 돌아와 니가 날 떠난 날부터 사랑이 멈춘 날부터 기다림이 버릇이 됐어 눈물 흘릴 줄 아는데 나도 아플 줄 아는데 오늘도 이렇게 애써 웃나봐 사랑은 이별앞에서 약해지고 이별은 사랑에게 잔인해지나봐 널 잊는 것도 이별이 남겨준 내가 참아야 할 몫인가봐 가슴에 묻어둔 추억만 세어도 입술에 차오른 이름만 불러봐도 눈물이 나서 너무 그리워서 살아갈 자신 없나봐 사랑은 이별앞에서 약해지고 이별은 사랑에게 잔인해지나봐 널 잊는 것도 이별이 남겨준 내가 참아야 할 몫인가봐 가슴에 묻어둔 추억만 새어도 입술에 차오른 이름만 불러봐도 눈물이 나서 너무 그리워서 살아갈 자신 없나봐 지우고 지워도 널 잊지 못해서 버리고 버려도 가슴에 남아서 세상에 사랑할 한 사람 있다면 아파도 살아갈 이유 하나 있다면 바로 너라고 대답하고 싶어 내가 사는 이유니까 사랑하니까,"11,923",2006,SG Wannabe,라라라,C Major,8B,198.0,4:37,44.0,73.0,38.0,49.0,55.0,0.0,7.0,6.0,-4 dB,2006
9,버즈 My Love (And),My Love (And),버즈,록/메탈,안돼요 더는 못해요 그대없이 사는 일 나 때문에 그대 망가진다며 이별을 원한건 나인데 매일 가슴이 갈라져요 숨이 다 끊어질 만큼 울어요 수천번 잊었다 외쳐 봐도 내 삶은 어느새 벼랑 끝에 서있네요 My love 다시 사랑해요 세상 반대쪽 끝에 살아도 찾을게요 다신 그댈 놓지 않아요 멈춘 내 심장을 뛰게 할 사람 우리 헤어지길 잘했죠 얼마나 슬픈 일인지 알았죠 하늘은 모자란 내 사랑을 눈뜨게 하려고 잠시 갈라 논 거였죠 My love 다시 사랑해요 세상 반대쪽 끝에 살아도 찾을게요 다신 그댈 놓지 않아요 멈춘 내 심장을 뛰게 할 사람 나 때문에 망가진 게 맞네요 내가 그대 가슴 안에 못이었네요 사랑하고 책임 없이 도망친 나를 성급한 이별을 용서받고 싶어요 My love 혼자 있어줘요 그대 있는 곳으로 지금 달려 갈게요 조금만 더 기다려줘요 우리 다시 사랑해야만 해요,"58,694",2006,BUZZ,My Love (And),G Major,9B,140.0,4:05,50.0,65.0,46.0,18.0,24.0,0.0,16.0,3.0,-3 dB,2006
10,노을 전부 너였다,전부 너였다,노을,발라드,가슴을 떼어논채 살 순 없나요 아무런 느낌도 없는 채로 눈물을 닦을 힘도 숨쉴 힘도 이제는 나 없죠 그대는 숨죽여 속으로 울겠죠 나보다 더 힘들겠죠 다음이 또 있다면 그땐 늦지 않게 마음껏 더 사랑할텐데 내가 살아온 모든 행복을 더해도 우리의 짧은 날만 못하죠 어떻게 잊을까요 어떻게 견뎌 낼까요 나는 기도해요 사랑이 우스운 나이까지 단숨에 흘러가길 수많은 사람 중 한명일 뿐인데 하나 잃었을 뿐인데 세상이 비틀대고 아무 일도 아무 생각도 난 할 수가 없죠 내가 살아온 모든 행복을 더해도 우리의 짧은 날만 못하죠 어떻게 잊을까요 어떻게 견뎌 낼까요 나는 기도해요 사랑이 우스운 나이까지 단숨에 흘러가길 바라만 봐도 좋았던 나였는데 욕심이 자라나 이렇게 벌을 받나요 보낸다는건 내가 가졌던거겠죠 한동안 내 것이던 그대죠 그렇게 잊을 게요 그렇게 견뎌 낼게요 보내고 보내도 헤어지고 다시 헤어져도 나는 또 그대겠죠,"38,151",2006,코케,전부 너였다 : Originally Performed By 노을 Karaoke Verison,E♭ Major,5B,132.0,4:23,0.0,38.0,57.0,7.0,37.0,35.0,10.0,4.0,-11 dB,2006
11,거북이 비행기,비행기,거북이,댄스,Yes Turtles Forth album New mind New song 철없을 적 내 기억속에 비행기 타고가요 Yeah Let's go 파란 하늘위로 훨훨 날아가겠죠 어려서 꿈꾸었던 비행기 타고 기다리는 동안 아무말도 못해요 내 생각 말할순 없어요 모든 준비 다 끝났어 곱게 차려 입고 나선 바깥 풍경마저 들뜬 기분 때가 왔어 하늘위로 날으는 순간이야 조금은 두려워도 애써 내색 할 순 없어 이번이 처음이지만 전에 자주 비행했었잖아 친구들과 말썽장이 거북이 비행기로 올라타 준비됐나 수많은 사람들 속을 지나쳐 마지막 게이트야 나도 모르게 안절부절하고 있어 이럴 땐 침착해 좀 자연스럽게 파란 하늘위로 훨훨 날아가겠죠 어려서 꿈꾸었던 비행기 타고 기다리는 동안 아무말도 못해요 내 생각 말할순 없어요 Yes Remember 비행기를 타고 가던 너 따라가고 싶어 울었던 철없을 적 내 기억속에 비행기 타고가요 Yes Fly 다들 아무 일도 없는 듯 하늘을 나르는데 아무걱정 없는 듯 왠지 철닥서니 없었나 문득 이런 내 모습 촌스러 입 다문듯 쳐다보지 말아요 다들 처음 탈 때 이러지 않았나요 딴 데 봐요 신경 쓰지 마요 나 혼자 이런게 나 좋아요 어떤 느낌일까 정말 새들처럼 나는 기분 세상 모든 것이 점처럼 보 여 지겠지 개구쟁이 거북이 비행기로 드디어 출발한다 수많은 사람들 속을 지나쳐 마지막 게이트야 나도 모르게 안절부절하고 있어 이럴 땐 침착해 좀 자연스럽게 파란 하늘위로 훨훨 날아가겠죠 어려서 꿈꾸었던 비행기 타고 기다리는 동안 아무말도 못해요 내 생각 말할순 없어요 파란 하늘위로 훨훨 날아가겠죠 어려서 꿈꾸었던 비행기 타고 기다리는 동안 아무말도 못해요 내 생각 말할순 없어요 Yes Remember 비행기를 타고 가던 너 따라가고 싶어 울었던 철없을 적 내 기억속에 비행기 타고가요,"7,748",2006,Turtles,비행기,G Major,9B,120.0,3:33,46.0,99.0,75.0,86.0,20.0,0.0,37.0,7.0,-2 dB,2006
12,손호영(SHY) 운다,운다,손호영(SHY),발라드,술집 문을 연다 술잔에 널 띄워 본다 환하게 웃는다 날 보며 웃는다 여전히  거짓말을 한다 난 괜찮은 놈이라고 다짐도 해본다 난 잘 지낼거란 또 그 말  마음이 아파 죽을 것만 같아도 보고싶어 죽을 것만 같아도 무릎꿇고 매달리며 다시 돌아와달라고 그 한마디도 하지 못하는  내가 싫어 운다 보고 싶어서 또 운다 후회되서 울고 이런 내가 싫어 또 운다 마음을 머리로 속여보려한다 추억 눈물로 녹여보려한다 미움마저 가져가서 행복마저 빌고마는 참 바보같은 게 남자라서 또 운다  나 취해야 이렇게 겨우 한번 부른다 몇천번쯤 불러 봤던 내것이었던 너  마음이 아파 죽을 것만 같아도 보고 싶어 죽을 것만 같아도 무릎 꿇고 매달리며 다시 돌아와달라고 그 한마디를 못하는 내가 싫어  마음을 머리로 속여보려 해도 추억 눈물로 녹여보려 해도 미움마저 가져가서 행복마저 빌고마는 참 바보같은 게 남자라서 또 운다 술에 취해,"5,088",2006,손경민 Son Kyung Min,"은혜 Grace (feat. 지선 Ji Sun, 이윤화 Lee Yun Hwa, 하니 HANI, 강찬 Kang Chan & 아이빅밴드 IBIG Band)",C Major,8B,130.0,4:49,38.0,36.0,55.0,32.0,61.0,0.0,16.0,3.0,-8 dB,2006
13,장리인 (Zhang Li Yin) Timeless (Feat. 시아준수),Timeless (Feat. 시아준수),장리인 (Zhang Li Yin),발라드,안돼요 날 놓아 버리면 힘들어도 여기 더 머물러요 조금만 더 볼 수 있다면 남은 사랑만큼 웃어볼텐데 Timeless 이별은 아니죠 한번의 삶이라면 지금 뿐인데 Hold tight baby timeless 이 가슴에 묻어요 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timeless love 세상을 따라 난 가지만 슬픔마저 함께 가는 건가요  너무 그리웠던 날 불러본 그대 마음뿐의 상처는 아물겠죠 천번에 눈물 삼키면 그때서야 알게 될까요 내 손 잡아요 떠나게 말아요 Timeless 이별은 아니죠 한번의 삶이라면 지금 뿐인데 Hold tight baby timeless 이 가슴에 묻어요 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timless love  yeah  baby is timeless Hold tight baby timeless 돌아갈 수 있도록 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timeless this is timeless love,"1,279",2006,"Zhang Li Yin, XIA",Timeless,F# Major,2B,136.0,4:12,32.0,74.0,61.0,43.0,46.0,0.0,10.0,5.0,-3 dB,2006
14,별 눈물샘,괜찮은 오늘 (Feat. MC 몽),별,발라드,Love you 그댈 사랑해 내겐 너뿐이야 아껴왔던 내 마음을 오늘 보여줄게 내사랑 왠일이야 내게 먼저 전활주고 달콤한 유혹에 난 눈을 비벼 잠을 깨고 변한 너에 목소리에 난 가슴은 또 떨리는데 I want you back 항상 고백했는데 너에 사랑 얻으려고 그렇게 노력 했는데 막상 그날이 오니 나는 왠지 불안한걸 목구멍이 타오르네 숨이막혀 답답해 오늘 어디 아프냐고 다시한번 물어볼껄 오늘 우리 만나요 햇살이 좋아요 어디론가 떠날래요 아무도 없는 곳으로 둘이서 우리 단 둘이서 그렇게 Baby 라라라라 lovely time lovely time oh party time 내가 사는 이유 그대와 이 밤을 라라라라 lovely time lovely time 터질듯한 모든 것의 이유 내 맘을 전해 I love you 타오르는 해야 귀여운 너의 옷차림 너만이 내게 줄수 있는 이 느낌 달라진건 없어 하지만 알수 없는 떨림이 strong feeling이 내 온몸을 자극해 고개를 숙이네 고개를 떨구네 하지만 이 순간이 싫지는 않아 너에 진실이 눈을 감아도 보이잖아 우린 높이 날아 사랑을 찾아 내 맘 속에 바다 nothing means more 너와나 이제 하나 come on 뭘 망설이는 거에요 기다리고 있잖아 그대도 내 맘과 같잖아요 난 다 알고 있는걸요 조금씩 빠져 들어 가는 이 밤 my Baby 라라라라 lovely time lovely time oh party time 내가 사는 이유 그대와 이 밤을 라라라라 lovely time lovely time 터질듯한 모든 것의 이유 내 맘을 전해 I love you 언젠가 만나게 될 나의 운명 그 한 사람에게만 주려고 아껴왔지만 기다려왔지만 괜찮아 그대라면 라라라라 lovely time lovely time oh party time 내가 사는 이유 그대와 이 밤을 라라라라 lovely time lovely time 터질듯한 모든 것의 이유 내 맘을 전해 I love you 타오르는 해야 라라라라 lovely time oh party time 내 마음의 등불 그 미소위에 햇빛 넌 내 인생을 비춰주는 타오르는 태양 라라라라 lovely time 터질듯한 내 맘을 전해 I love you 끝없는 사랑을 너에게 전할께 널 원해 사랑해 고백해 평생을 너와 함께 하자고 약속한 이 노래 널 원해 사랑해 고백해 평생을 너와 함께 하자고 약속한 이 노래,"6,700",2006,Cheon Dan Bi,눈물샘,E Minor,9A,127.0,4:09,1.0,30.0,42.0,21.0,84.0,0.0,9.0,3.0,-7 dB,2006
